2024-11-27T13:35:16.120000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -85, 9.15247310877389
2024-11-27T13:35:16.120000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -84, 8.37677640068292
2024-11-27T13:35:21.460000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -65, 1.5570684047537309
2024-11-27T13:35:21.460000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -74, 3.455107294592219
2024-11-27T13:35:21.460000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -66, 1.701254279852589
2024-11-27T13:35:21.460000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -77, 4.506570337745474
2024-11-27T13:35:21.460000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -88, 11.937766417144363
2024-11-27T13:35:21.460000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -84, 8.37677640068292
2024-11-27T13:35:21.460000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -64, 1.425102670302998
2024-11-27T13:35:21.460000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -82, 7.017038286703828
2024-11-27T13:35:21.460000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -62, 1.1937766417144364
2024-11-27T13:35:21.460000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -94, 20.309176209047358
2024-11-27T13:35:21.460000, sensor3, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -93, 18.587918911465636
2024-11-27T13:35:21.460000, sensor3, NHVB9, 6C:21:62:40:6A:30, -82, 7.017038286703828
2024-11-27T13:35:21.460000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -90, 14.251026703029977
2024-11-27T13:35:21.460000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -62, 1.1937766417144364
2024-11-27T13:35:21.460000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -76, 4.1246263829013525
2024-11-27T13:35:21.460000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -63, 1.3043213867190053
2024-11-27T13:35:26.810000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -66, 1.701254279852589
2024-11-27T13:35:26.810000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -82, 7.017038286703828
2024-11-27T13:35:26.810000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -46, 0.2894266124716751
2024-11-27T13:35:26.810000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -61, 1.0926008611173783
2024-11-27T13:35:26.810000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -63, 1.3043213867190053
2024-11-27T13:35:26.810000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -93, 18.587918911465636
2024-11-27T13:35:26.810000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -85, 9.15247310877389
2024-11-27T13:35:26.810000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -62, 1.1937766417144364
2024-11-27T13:35:26.810000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -72, 2.894266124716751
2024-11-27T13:35:26.810000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -75, 3.7750532053243937
2024-11-27T13:35:26.810000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -74, 3.455107294592219
2024-11-27T13:35:26.810000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -61, 1.0926008611173783
2024-11-27T13:35:26.810000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -87, 10.926008611173785
2024-11-27T13:35:26.810000, sensor3, NHVB9, 6C:21:62:40:6A:30, -84, 8.37677640068292
2024-11-27T13:35:26.810000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -82, 7.017038286703828
2024-11-27T13:35:26.810000, sensor3, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -94, 20.309176209047358
2024-11-27T13:35:32.160000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -49, 0.3775053205324394
2024-11-27T13:35:32.160000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -60, 1.0
2024-11-27T13:35:32.160000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -65, 1.5570684047537309
2024-11-27T13:35:32.160000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -94, 20.309176209047358
2024-11-27T13:35:32.160000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -77, 4.506570337745474
2024-11-27T13:35:32.160000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -62, 1.1937766417144364
2024-11-27T13:35:32.160000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -76, 4.1246263829013525
2024-11-27T13:35:32.160000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -84, 8.37677640068292
2024-11-27T13:35:32.160000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -88, 11.937766417144363
2024-11-27T13:35:32.160000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -74, 3.455107294592219
2024-11-27T13:35:32.160000, sensor3, NHVB9, 6C:21:62:40:6A:30, -80, 5.878016072274914
2024-11-27T13:35:32.160000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -75, 3.7750532053243937
2024-11-27T13:35:37.510000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:35:37.510000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:37.510000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -74, 3.455107294592219
2024-11-27T13:35:37.510000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -74, 3.455107294592219
2024-11-27T13:35:37.510000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -82, 7.017038286703828
2024-11-27T13:35:37.510000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -81, 6.42232542222936
2024-11-27T13:35:37.510000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -91, 15.57068404753731
2024-11-27T13:35:37.510000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -76, 4.1246263829013525
2024-11-27T13:35:37.510000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -64, 1.425102670302998
2024-11-27T13:35:37.510000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -72, 2.894266124716751
2024-11-27T13:35:37.510000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -94, 20.309176209047358
2024-11-27T13:35:37.510000, sensor3, NHVB9, 6C:21:62:40:6A:30, -84, 8.37677640068292
2024-11-27T13:35:37.510000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -85, 9.15247310877389
2024-11-27T13:35:37.510000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -56, 0.7017038286703828
2024-11-27T13:35:37.510000, sensor3, A0-D0-5B-BA-8F-49, A0:D0:5B:BA:8F:49, -102, 41.24626382901352
2024-11-27T13:35:37.510000, sensor3, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -98, 28.942661247167504
2024-11-27T13:35:42.850000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -53, 0.5379838403443686
2024-11-27T13:35:42.850000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -60, 1.0
2024-11-27T13:35:42.850000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -65, 1.5570684047537309
2024-11-27T13:35:42.850000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -45, 0.2648969287610528
2024-11-27T13:35:42.850000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -90, 14.251026703029977
2024-11-27T13:35:42.850000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -63, 1.3043213867190053
2024-11-27T13:35:42.850000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -64, 1.425102670302998
2024-11-27T13:35:42.850000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -91, 15.57068404753731
2024-11-27T13:35:42.850000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -87, 10.926008611173785
2024-11-27T13:35:42.850000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -93, 18.587918911465636
2024-11-27T13:35:42.850000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -81, 6.42232542222936
2024-11-27T13:35:42.850000, sensor3, NHVB9, 6C:21:62:40:6A:30, -80, 5.878016072274914
2024-11-27T13:35:42.850000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -92, 17.012542798525892
2024-11-27T13:35:42.850000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -60, 1.0
2024-11-27T13:35:42.850000, sensor3, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -95, 22.18982341458972
2024-11-27T13:35:42.850000, sensor3, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -89, 13.043213867190055
2024-11-27T13:35:48.200000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -63, 1.3043213867190053
2024-11-27T13:35:48.200000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -75, 3.7750532053243937
